smiles_a,gene,smiles_b,pic50_a,pic50_b,relation_a,relation_b
Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H](C)N(C)C)C5)ncc3F)cc2n1C1CC1,CDK4,C[C@@H](O)[C@@H](C)Oc1nc(Nc2ccc(S(=O)(=O)C3CC3)cc2)ncc1C(F)(F)F,8.65,7.49,=,=
COc1cc2nc(CNc3nc(N4CCOCC4)nc4c3ncn4-c3cnn(C)c3)[nH]c2cc1Cl,CDK12,C=CC(=O)Nc1ccc(C(=O)N2CC[C@@H](Nc3ncc(C)cn3)C2)cc1,7.42,6.26,=,=
CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,NEK11,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,5.52,6.33,=,=
Nc1ncc(C=CC(=O)NCCCn2ccnc2)c2scc(-c3ccc(Br)cc3)c12,STK3,Nc1ncnc2c1sc1ncnc(N)c12,5.1,5.5,=,=
Cc1ccn2ncc(C(=O)Nc3ccccc3Cl)c2c1,EPHB3,O=C(Nc1ccccc1F)c1cnn2ccccc12,6.58,4.7,=,=
CCN1c2ccc(F)cc2N=C(NC2CCN(C(=O)NC(C)(C)C)C2)c2cc(Cl)ccc21,PKN1,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,8.0,5.77,=,=
CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,CDK14,CN1C(=O)[C@@H](N2CCc3cn(Cc4ccccc4)nc3C2=O)COc2ccccc21,6.96,6.0,=,=
Nc1ncnc2c1N=C(c1ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc1)CCN2,PLK4,CC(=O)c1cccc(-c2cnc3[nH]ccc3c2)c1,7.4,5.5,=,=
Cc1cncc2cccc(S(=O)(=O)N3CCCNCC3C)c12,LIMK1,COC(=O)c1cccc(NC(=O)C2(CN)CCN(c3ncnc4[nH]cc(C)c34)CC2)c1,6.6,7.8,=,=
CC(=O)c1cn(C)c2ccc(Nc3nccc(-n4cc(CN5CC(O)C5)c(C)n4)n3)cc12,SYK,C[C@@H](Oc1cc(-c2ccc(OC(F)F)nc2)cc2ncccc12)[C@H]1CNC(=O)C1,8.89,8.27,=,=
Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,STK38,Cc1nc(Nc2n[nH]c3c2CN(C(=O)N[C@H](CN(C)C)c2ccccc2)C3(C)C)c2sccc2n1,6.16,7.12,=,=
NC(=O)c1cccc2cn[nH]c12,DAPK3,Cc1cc(-c2ncnc3[nH]ccc23)ccc1F,4.6,5.5,=,=
CO[C@H]1CCC[C@@H]1NC1=N/C(=C\c2ccc3ncsc3c2)C(=O)N1,DYRK4,CC1=NN(c2ccc(Cl)c(Cl)c2)C(=O)C1=Cc1c(C)c(C#N)c2nc3ccccc3n2c1O,6.84,6.0,=,=
CCCc1sc(-c2ccc(OC)c(OCC(C)(C)O)c2)nc1CSc1cc(N)nc(N)n1,DCK,Cc1sc(-c2cccc(F)c2)nc1CSc1nc(N)cc(N)n1,6.13,7.04,=,=
C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,TAOK2,Cn1cc(-c2cnc3c(-c4csc(C(=O)NCC(F)(F)F)c4)cnn3c2)cn1,6.3,4.6,=,=
OC(COc1cncc(C=Cc2ccncc2)c1)Cc1c[nH]c2ccccc12,MAP3K20,C=CC(=O)N1CCC(Oc2n[nH]c3ncc(-c4cn(-c5c(F)ccc(NS(=O)(=O)c6cccc(-c7ccccc7)c6)c5F)nn4)cc23)C1,5.1,7.94,=,=
Nc1snnc1-c1ccc(C(F)(F)F)cc1,MKNK2,Cc1c(C(=O)NC2CCN(C)CC2)sc2ncnc(Nc3cccnc3OC(C)C)c12,4.44,7.5,=,=
NC(=O)c1c(-c2cnn(Cc3ccccc3)c2)nn([C@H]2C[C@@]3(CCN(C(=O)C#CC4CC4)C3)C2)c1N,BTK,C=CC(=O)N1CCc2[nH]c3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn3c2C1,9.52,9.85,=,=
O=C(CCCCCn1c(=O)c(-c2ccc(Cl)cc2Cl)cc2cnc(NC3CC3)nc21)NO,PAK2,CNc1ncc2cc(-c3ccc(-c4ncccc4F)cc3Cl)c(=O)n(C[C@H]3OC[C@H](N)CO3)c2n1,6.71,7.39,=,=
CC(C)c1cc(CNc2nc(Cl)cc(Nc3cc(C(C)C)[nH]n3)n2)on1,IGF1R,COc1cc(N2CCN(C3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,6.3,7.36,=,=
Brc1ccc(Br)c(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,ROCK2,Cc1nn(-c2ccc(-c3cn[nH]c3)cc2)c(=O)n1Cc1ccccc1,5.25,7.56,=,=
CCn1ncnc1-c1cn2c(n1)-c1ccc(O[C@@H](C)C(N)=O)cc1OCC2,PIK3CD,CCN(CC)CCN(C)c1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnn2ccc(C#N)cc12,7.95,7.18,=,=
COc1cc(-c2nc(CSc3nc(N)nc(N)n3)cs2)ccc1OCCF,DCK,CCc1sc(-c2ccc(F)cc2)nc1CSc1nc(N)cc(N)n1,6.27,7.08,=,=
COc1cc2c(Nc3ccc(Br)c(Cl)c3)ncnc2cc1O[C@@H]1C[C@H]2OCC3(OCCO3)[C@H]2O1,EPHB4,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(C)CCN1C,7.3,6.79,=,=
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,MYLK3,CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1,5.82,6.98,=,=
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cccc(Cl)c4)c3)cc12,PRKG1,Cc1cc(NC(=O)Cc2ccc(-c3cccc4[nH]nc(N)c34)cc2)ccc1F,8.0,6.4,=,=
NC(=O)c1c(-c2cnn(Cc3ccccc3)c2)nn([C@H]2C[C@@]3(CCN(C(=O)C#CC4CC4)C3)C2)c1N,BTK,O=C(NCc1cccc(C2CCCN(c3ncnc4[nH]ccc34)C2)c1)Nc1ccccc1,9.52,5.26,=,=
c1cc(-c2c[nH]c3nccc(N4CCC[C@]5(CCCCN5)C4)c23)ncn1,ROCK1,O=C(NCc1cccnc1)Nc1nc(-c2ccncc2)cs1,4.3,6.04,=,=
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cccc(OC(F)(F)F)c4)c3)cc12,NEK4,CC1=NN(c2ccc(Cl)c(Cl)c2)C(=O)C1=Cc1c(C)c(C#N)c2nc3ccccc3n2c1O,6.6,5.6,=,=
NCC(NC(=O)c1ccc(-c2ccncc2)cc1)c1ccccc1,RPS6KA5,Clc1ncc(Cl)c(-n2ccc3ncccc32)n1,8.1,6.4,=,=
N#Cc1n[nH]c2ccc(NCc3cc(F)ccc3OCC(F)F)cc12,NTRK1,C[C@H](CO)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc4cccnc4c3)c2)c2cncnc21,7.51,6.73,=,=
CN1CCN(C[C@@H]2CCn3cc(c4ccccc43)C3=C(C(=O)NC3=O)c3cn(c4ccccc34)CCO2)CC1,PRKCA,CCCC(CCC)C(=O)OCC1(CO)C/C(=C\c2ccc3c(ccn3C)c2)C(=O)O1,5.75,8.08,=,=
O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCCC4=O)c3)n2)c1,CDC42BPA,NC(=O)c1cccc(-c2cnc3[nH]cc(-c4ccccc4)c3c2)c1,5.1,6.1,=,=
